version,1.7.0,,,,,,,,,,,,,,
ball,1,3.1,Afghanistan,Mohammad Shahzad,Hazratullah,JH Davey,1,0,,,,,,,
ball,1,3.2,Afghanistan,Hazratullah,Mohammad Shahzad,JH Davey,0,0,,,,,,,
ball,1,3.3,Afghanistan,Hazratullah,Mohammad Shahzad,JH Davey,1,0,,,,,,,
ball,1,3.4,Afghanistan,Mohammad Shahzad,Hazratullah,JH Davey,1,0,,,,,,,
ball,1,3.5,Afghanistan,Hazratullah,Mohammad Shahzad,JH Davey,4,0,,,,,,,
ball,1,3.6,Afghanistan,Hazratullah,Mohammad Shahzad,JH Davey,1,0,,,,,,,
ball,1,4.1,Afghanistan,Hazratullah,Mohammad Shahzad,BTJ Wheal,6,0,,,,,,,
ball,1,4.2,Afghanistan,Hazratullah,Mohammad Shahzad,BTJ Wheal,4,0,,,,,,,
ball,1,4.3,Afghanistan,Hazratullah,Mohammad Shahzad,BTJ Wheal,0,0,,,,,,,
ball,1,4.4,Afghanistan,Hazratullah,Mohammad Shahzad,BTJ Wheal,1,0,,,,,,,
ball,1,4.5,Afghanistan,Mohammad Shahzad,Hazratullah,BTJ Wheal,4,0,,,,,,,
ball,1,4.6,Afghanistan,Mohammad Shahzad,Hazratullah,BTJ Wheal,1,0,,,,,,,
ball,1,5.1,Afghanistan,Mohammad Shahzad,Hazratullah,SM Sharif,4,0,,,,,,,
ball,1,5.2,Afghanistan,Mohammad Shahzad,Hazratullah,SM Sharif,2,0,,,,,,,
ball,1,5.3,Afghanistan,Mohammad Shahzad,Hazratullah,SM Sharif,1,0,,,,,,,
ball,1,5.4,Afghanistan,Hazratullah,Mohammad Shahzad,SM Sharif,1,0,,,,,,,
ball,1,5.5,Afghanistan,Mohammad Shahzad,Hazratullah,SM Sharif,0,0,,,,,,caught,Mohammad Shahzad
ball,1,5.6,Afghanistan,Hazratullah,Rahmanullah Gurbaz,SM Sharif,0,1,,,,1,,,
ball,1,6.1,Afghanistan,Hazratullah,Rahmanullah Gurbaz,MRJ Watt,1,0,,,,,,,
ball,1,6.2,Afghanistan,Rahmanullah Gurbaz,Hazratullah,MRJ Watt,0,0,,,,,,,
ball,1,6.3,Afghanistan,Rahmanullah Gurbaz,Hazratullah,MRJ Watt,0,0,,,,,,,
ball,1,6.4,Afghanistan,Rahmanullah Gurbaz,Hazratullah,MRJ Watt,0,0,,,,,,,
ball,1,6.5,Afghanistan,Rahmanullah Gurbaz,Hazratullah,MRJ Watt,0,0,,,,,,,
ball,1,6.6,Afghanistan,Rahmanullah Gurbaz,Hazratullah,MRJ Watt,0,1,1,,,,,,
ball,1,6.7,Afghanistan,Rahmanullah Gurbaz,Hazratullah,MRJ Watt,0,0,,,,,,,
ball,1,7.1,Afghanistan,Hazratullah,Rahmanullah Gurbaz,CN Greaves,0,0,,,,,,,
ball,1,7.2,Afghanistan,Hazratullah,Rahmanullah Gurbaz,CN Greaves,6,0,,,,,,,
ball,1,7.3,Afghanistan,Hazratullah,Rahmanullah Gurbaz,CN Greaves,1,0,,,,,,,
ball,1,7.4,Afghanistan,Rahmanullah Gurbaz,Hazratullah,CN Greaves,0,0,,,,,,,
ball,1,7.5,Afghanistan,Rahmanullah Gurbaz,Hazratullah,CN Greaves,2,0,,,,,,,
ball,1,7.6,Afghanistan,Rahmanullah Gurbaz,Hazratullah,CN Greaves,1,0,,,,,,,
ball,1,8.1,Afghanistan,Rahmanullah Gurbaz,Hazratullah,JH Davey,0,0,,,,,,,
ball,1,8.2,Afghanistan,Rahmanullah Gurbaz,Hazratullah,JH Davey,4,0,,,,,,,
ball,1,8.3,Afghanistan,Rahmanullah Gurbaz,Hazratullah,JH Davey,2,0,,,,,,,
ball,1,8.4,Afghanistan,Rahmanullah Gurbaz,Hazratullah,JH Davey,0,1,1,,,,,,
ball,1,8.5,Afghanistan,Rahmanullah Gurbaz,Hazratullah,JH Davey,1,0,,,,,,,
ball,1,8.6,Afghanistan,Hazratullah,Rahmanullah Gurbaz,JH Davey,2,0,,,,,,,
ball,1,8.7,Afghanistan,Hazratullah,Rahmanullah Gurbaz,JH Davey,2,0,,,,,,,
ball,1,9.1,Afghanistan,Rahmanullah Gurbaz,Hazratullah,MRJ Watt,0,0,,,,,,,
ball,1,9.2,Afghanistan,Rahmanullah Gurbaz,Hazratullah,MRJ Watt,1,0,,,,,,,
ball,1,9.3,Afghanistan,Hazratullah,Rahmanullah Gurbaz,MRJ Watt,2,0,,,,,,,
ball,1,9.4,Afghanistan,Hazratullah,Rahmanullah Gurbaz,MRJ Watt,0,0,,,,,,,
ball,1,9.5,Afghanistan,Hazratullah,Rahmanullah Gurbaz,MRJ Watt,0,0,,,,,,bowled,Hazratullah
ball,1,9.6,Afghanistan,Najibullah Zadran,Rahmanullah Gurbaz,MRJ Watt,0,0,,,,,,,
